DT,latitude,longitude,R,NIR,Fmask,Sensor
2017206T232854,63.1745585,179.132383,0.0381,0.3635,64,LC08
2017206T232854,63.2462262,179.0952475,0.0385,0.39990000000000003,64,LC08
2017206T232854,63.1778561,179.1682067,0.0222,0.35650000000000004,64,LC08
2017206T232854,63.3337091,178.9979193,0.046700000000000005,0.2449,64,LC08
2017206T232854,63.2367396,179.0491019,0.0327,0.372,64,LC08
2017206T232854,63.1908564,179.0553359,0.0414,0.25170000000000003,64,LC08
2017206T232854,63.1643479,178.994274,0.0357,0.41390000000000005,64,LC08
2017206T232854,63.1367844,179.041577,0.049300000000000004,0.2637,64,LC08
2017215T232247,63.0398979,179.1493163,0.0596,0.3007,64,LC08
2017215T232247,63.1908564,179.0553359,0.0458,0.2726,64,LC08
2017215T232247,63.1643479,178.994274,0.040100000000000004,0.41050000000000003,64,LC08
2017215T232247,63.1367844,179.041577,0.059000000000000004,0.2805,128,LC08
2017222T232900,63.1745585,179.132383,0.048,0.37820000000000004,64,LC08
2017222T232900,63.2462262,179.0952475,0.0439,0.3471,64,LC08
2017222T232900,63.1778561,179.1682067,0.0349,0.37270000000000003,64,LC08
2017222T232900,63.2367396,179.0491019,0.0352,0.3163,64,LC08
2017222T232900,63.1908564,179.0553359,0.0483,0.26430000000000003,64,LC08
2017222T232900,63.1643479,178.994274,0.0495,0.3985,64,LC08
2017231T232252,63.0398979,179.1493163,0.0699,0.3064,64,LC08
2017231T232252,63.1745585,179.132383,0.0521,0.36710000000000004,64,LC08
2017231T232252,63.2462262,179.0952475,0.060200000000000004,0.39330000000000004,64,LC08
2017231T232252,63.1778561,179.1682067,0.0363,0.35650000000000004,128,LC08
2017240T231707,63.0398979,179.1493163,0.09040000000000001,0.34950000000000003,64,LC08
2017240T231707,63.1778561,179.1682067,0.0492,0.36960000000000004,128,LC08
2017254T232905,63.1367844,179.041577,0.1027,0.2439,64,LC08
2017256T231643,63.1643479,178.994274,0.0363,0.1681,64,LC08
2017256T231643,63.1367844,179.041577,0.1155,0.25120000000000003,64,LC08
2017263T232257,63.0398979,179.1493163,0.0748,0.24500000000000002,64,LC08
2017263T232257,63.2462262,179.0952475,0.0801,0.3244,64,LC08
2017263T232257,63.1778561,179.1682067,0.014400000000000001,0.0596,64,LC08
2017263T232257,63.3337091,178.9979193,0.066,0.2501,64,LC08
2017263T232257,63.1908564,179.0553359,0.0717,0.2134,64,LC08
2017263T232257,63.1643479,178.994274,0.07200000000000001,0.3033,64,LC08
2017270T232911,63.1745585,179.132383,0.0636,0.2733,64,LC08
2017270T232911,63.2462262,179.0952475,0.0826,0.3148,64,LC08
2017270T232911,63.1778561,179.1682067,0.0422,0.2155,64,LC08
2017270T232911,63.3337091,178.9979193,0.0687,0.2564,64,LC08
2017270T232911,63.2367396,179.0491019,0.0718,0.2436,64,LC08
2017270T232911,63.1908564,179.0553359,0.0752,0.2197,64,LC08
2017270T232911,63.1367844,179.041577,0.0061,0.048100000000000004,192,LC08
2018163T231529,63.2462262,179.0952475,0.11510000000000001,0.25670000000000004,192,LC08
2018163T231529,63.1908564,179.0553359,0.0988,0.18560000000000001,192,LC08
2018163T231529,63.1643479,178.994274,0.39680000000000004,0.4375,192,LC08
2018170T232144,63.1745585,179.132383,0.19310000000000002,0.30110000000000003,192,LC08
2018170T232144,63.2462262,179.0952475,0.0781,0.2696,64,LC08
2018170T232144,63.3337091,178.9979193,0.054700000000000006,0.1676,64,LC08
2018170T232144,63.2367396,179.0491019,0.0488,0.2576,64,LC08
2018170T232144,63.1908564,179.0553359,0.0592,0.1553,64,LC08
2018170T232144,63.1643479,178.994274,0.0902,0.2735,192,LC08
2018177T232800,63.0398979,179.1493163,0.06430000000000001,0.25630000000000003,64,LC08
2018177T232800,63.1745585,179.132383,0.0247,0.2184,64,LC08
2018177T232800,63.2462262,179.0952475,0.0648,0.3017,64,LC08
2018177T232800,63.1778561,179.1682067,0.1908,0.316,128,LC08
2018177T232800,63.3337091,178.9979193,0.056100000000000004,0.18730000000000002,64,LC08
2018177T232800,63.2367396,179.0491019,0.055400000000000005,0.2964,64,LC08
2018177T232800,63.1908564,179.0553359,0.0509,0.1825,64,LC08
2018177T232800,63.1643479,178.994274,0.0396,0.29200000000000004,64,LC08
2018177T232800,63.1367844,179.041577,0.2831,0.3234,64,LC08
2018179T231539,63.0398979,179.1493163,0.0737,0.2813,64,LC08
2018179T231539,63.1745585,179.132383,0.0373,0.23870000000000002,128,LC08
2018179T231539,63.2462262,179.0952475,0.0596,0.3121,64,LC08
2018179T231539,63.1778561,179.1682067,0.1492,0.325,64,LC08
2018179T231539,63.3337091,178.9979193,0.06330000000000001,0.20140000000000002,64,LC08
2018179T231539,63.2367396,179.0491019,0.059500000000000004,0.3166,64,LC08
2018179T231539,63.1908564,179.0553359,0.09040000000000001,0.24780000000000002,192,LC08
2018186T232154,63.0398979,179.1493163,0.063,0.2822,64,LC08
2018186T232154,63.1745585,179.132383,0.0517,0.2802,64,LC08
2018186T232154,63.2462262,179.0952475,0.0477,0.3658,64,LC08
2018186T232154,63.1778561,179.1682067,0.030100000000000002,0.2985,64,LC08
2018186T232154,63.3337091,178.9979193,0.060200000000000004,0.2119,64,LC08
2018186T232154,63.2367396,179.0491019,0.0414,0.3739,64,LC08
2018186T232154,63.1908564,179.0553359,0.0465,0.21430000000000002,64,LC08
2018186T232154,63.1643479,178.994274,0.0337,0.3628,64,LC08
2018186T232154,63.1367844,179.041577,0.0594,0.14120000000000002,64,LC08
2018195T231547,63.0398979,179.1493163,0.0654,0.2978,64,LC08
2018195T231547,63.1778561,179.1682067,0.0444,0.3388,192,LC08
2018195T231547,63.3337091,178.9979193,0.06520000000000001,0.2146,64,LC08
2018227T231603,63.0398979,179.1493163,0.0616,0.2589,192,LC08
2018227T231603,63.1745585,179.132383,0.044500000000000005,0.32120000000000004,192,LC08
2018227T231603,63.2462262,179.0952475,0.0512,0.3396,192,LC08
2018227T231603,63.1778561,179.1682067,0.0358,0.3341,192,LC08
2018227T231603,63.3337091,178.9979193,0.0651,0.23650000000000002,64,LC08
2018227T231603,63.2367396,179.0491019,0.0426,0.3261,192,LC08
2018227T231603,63.1908564,179.0553359,0.050100000000000006,0.24020000000000002,192,LC08
2018227T231603,63.1643479,178.994274,0.0506,0.3544,192,LC08
2018227T231603,63.1367844,179.041577,0.057300000000000004,0.2579,192,LC08
2018243T231610,63.0398979,179.1493163,0.06760000000000001,0.28040000000000004,64,LC08
2018243T231610,63.1745585,179.132383,0.0453,0.34890000000000004,64,LC08
2018243T231610,63.2462262,179.0952475,0.0587,0.3714,64,LC08
2018243T231610,63.1778561,179.1682067,0.028200000000000003,0.33440000000000003,64,LC08
2018243T231610,63.3337091,178.9979193,0.0609,0.2477,64,LC08
2018243T231610,63.2367396,179.0491019,0.0507,0.3317,64,LC08
2018243T231610,63.1643479,178.994274,0.0495,0.3907,64,LC08
2018243T231610,63.1367844,179.041577,0.0575,0.253,64,LC08
2018250T232223,63.0398979,179.1493163,0.07690000000000001,0.2851,64,LC08
2018250T232223,63.1745585,179.132383,0.056900000000000006,0.3321,64,LC08
2018250T232223,63.2462262,179.0952475,0.0714,0.36970000000000003,64,LC08
2018250T232223,63.1778561,179.1682067,0.030500000000000003,0.32130000000000003,64,LC08
2018250T232223,63.3337091,178.9979193,0.058800000000000005,0.24180000000000001,64,LC08
2018250T232223,63.2367396,179.0491019,0.0682,0.3235,64,LC08
2018250T232223,63.1908564,179.0553359,0.055900000000000005,0.22990000000000002,64,LC08
2018250T232223,63.1643479,178.994274,0.051000000000000004,0.3683,64,LC08
2018250T232223,63.1367844,179.041577,0.0699,0.2489,64,LC08
2019164T232848,63.1745585,179.132383,0.0446,0.2582,192,LC08
2019164T232848,63.2462262,179.0952475,0.0751,0.268,64,LC08
2019164T232848,63.1778561,179.1682067,0.1724,0.29000000000000004,64,LC08
2019164T232848,63.3337091,178.9979193,0.0635,0.1759,64,LC08
2019164T232848,63.2367396,179.0491019,0.0279,0.2296,64,LC08
2019164T232848,63.1908564,179.0553359,0.0597,0.1758,64,LC08
2019164T232848,63.1643479,178.994274,0.06620000000000001,0.2554,64,LC08
2019164T232848,63.1367844,179.041577,0.2939,0.3183,64,LC08
2019166T231627,63.0398979,179.1493163,0.0834,0.2884,64,LC08
2019166T231627,63.2462262,179.0952475,0.0693,0.273,64,LC08
2019166T231627,63.1778561,179.1682067,0.22110000000000002,0.3597,192,LC08
2019166T231627,63.2367396,179.0491019,0.030600000000000002,0.24930000000000002,128,LC08
2019166T231627,63.1908564,179.0553359,0.06770000000000001,0.2369,64,LC08
2019166T231627,63.1643479,178.994274,0.1207,0.36110000000000003,192,LC08
2019166T231627,63.1367844,179.041577,0.1512,0.20450000000000002,192,LC08
2019173T232240,63.1745585,179.132383,0.0465,0.3638,64,LC08
2019173T232240,63.1778561,179.1682067,0.0369,0.3418,64,LC08
2019173T232240,63.1908564,179.0553359,0.058800000000000005,0.2432,64,LC08
2019173T232240,63.1643479,178.994274,0.027600000000000003,0.379,64,LC08
